intersection_key,road_key,time_key,0,1
โพธิ์สามต้น,วังเดิม,09:00-16:00,327.42857142857144,336.0
โพธิ์สามต้น,วังเดิม,16:00-19:00,347.6666666666667,294.6666666666667
โพธิ์สามต้น,อิสรภาพ,07:00-09:00,1750.5,1321.5
โพธิ์สามต้น,อิสรภาพ,09:00-16:00,1297.0,1236.857142857143
โพธิ์สามต้น,อิสรภาพ,16:00-19:00,1307.6666666666667,1312.0
โรงกรองน้ำ,นครไชยศรี,07:00-09:00,1200.5,949.5
โรงกรองน้ำ,นครไชยศรี,09:00-16:00,965.0714285714287,680.8571428571429
โรงกรองน้ำ,นครไชยศรี,16:00-19:00,793.3333333333334,631.0
โรงกรองน้ำ,พระรามที่6,07:00-09:00,2734.0,2399.5
โรงกรองน้ำ,พระรามที่6,09:00-16:00,2287.142857142857,2266.4285714285716
โรงกรองน้ำ,พระรามที่6,16:00-19:00,2543.0,2386.0
ใกล้วัดดิสหงษาราม,เพชรบุรี,07:00-09:00,3333.5,2528.5
ใกล้วัดดิสหงษาราม,เพชรบุรี,09:00-16:00,2752.1428571428573,1994.0
ใกล้วัดดิสหงษาราม,เพชรบุรี,16:00-19:00,2733.6666666666665,1970.6666666666667
