source_excel_row,survey_date_parsed,report_date,Lockdown,Not Lockdown,intersection,road,reference_flag
17361,2020-03-10,2020-03-10,1,0,ใกล้ซอยหทัยราษฎร์37,หทัยราษฎร์,0
17362,2020-03-10,2020-03-10,1,0,ใกล้ซอยหทัยราษฎร์37,หทัยราษฎร์,0
17363,2020-03-10,2020-03-10,1,0,ใกล้ซอยหทัยราษฎร์37,หทัยราษฎร์,0
17364,2020-03-10,2020-03-10,1,0,หทัยราษฎร์-หทัยมิตร,หทัยราษฎร์,0
17365,2020-03-10,2020-03-10,1,0,หทัยราษฎร์-หทัยมิตร,หทัยราษฎร์,0
17366,2020-03-10,2020-03-10,1,0,หทัยราษฎร์-หทัยมิตร,หทัยราษฎร์,0
17367,2020-03-10,2020-03-10,1,0,หทัยราษฎร์-หทัยมิตร,หทัยมิตร,0
17368,2020-03-10,2020-03-10,1,0,หทัยราษฎร์-หทัยมิตร,หทัยมิตร,0
17369,2020-03-10,2020-03-10,1,0,หทัยราษฎร์-หทัยมิตร,หทัยมิตร,0
17370,2020-03-11,2020-03-11,1,0,หน้าโรงเรียนอินเตอร์คิดส์,ประชาร่วมใจ,0
17371,2020-03-11,2020-03-11,1,0,หน้าโรงเรียนอินเตอร์คิดส์,ประชาร่วมใจ,0
17372,2020-03-11,2020-03-11,1,0,หน้าโรงเรียนอินเตอร์คิดส์,ประชาร่วมใจ,0
17373,2020-03-11,2020-03-11,1,0,ใกล้ซอยราษฎร์อุทิศ24,ราษฎร์อุทิศ,0
17374,2020-03-11,2020-03-11,1,0,ใกล้ซอยราษฎร์อุทิศ24,ราษฎร์อุทิศ,0
17375,2020-03-11,2020-03-11,1,0,ใกล้ซอยราษฎร์อุทิศ24,ราษฎร์อุทิศ,0
17376,2020-03-12,2020-03-12,1,0,วดัเบญ,พระรามที่5,0
17377,2020-03-12,2020-03-12,1,0,วดัเบญ,พระรามที่5,0
17378,2020-03-12,2020-03-12,1,0,วดัเบญ,พระรามที่5,0
17379,2020-03-12,2020-03-12,1,0,วดัเบญ,ศรีอยุธยา,0
17380,2020-03-12,2020-03-12,1,0,วดัเบญ,ศรีอยุธยา,0
17381,2020-03-12,2020-03-12,1,0,วดัเบญ,ศรีอยุธยา,0
17382,2020-03-13,2020-03-13,1,0,เสาวณี,สวรรคโลก,0
17383,2020-03-13,2020-03-13,1,0,เสาวณี,สวรรคโลก,0
17384,2020-03-13,2020-03-13,1,0,เสาวณี,สวรรคโลก,0
17385,2020-03-13,2020-03-13,1,0,เสาวณี,ศรีอยุธยา,0
17386,2020-03-13,2020-03-13,1,0,เสาวณี,ศรีอยุธยา,0
17387,2020-03-13,2020-03-13,1,0,เสาวณี,ศรีอยุธยา,0
17388,2020-03-16,2020-03-16,1,0,วิชัยยุทธ,พระรามที่6,0
17389,2020-03-16,2020-03-16,1,0,วิชัยยุทธ,พระรามที่6,0
17390,2020-03-16,2020-03-16,1,0,วิชัยยุทธ,พระรามที่6,0
17391,2020-03-16,2020-03-16,1,0,วิชัยยุทธ,ซอยเศรษฐศิริ,0
17392,2020-03-16,2020-03-16,1,0,วิชัยยุทธ,ซอยเศรษฐศิริ,0
17393,2020-03-16,2020-03-16,1,0,วิชัยยุทธ,ซอยเศรษฐศิริ,0
17394,2020-03-16,2020-03-16,1,0,วิชัยยุทธ,ทางขึ้นลงทางด่วน,0
17395,2020-03-16,2020-03-16,1,0,วิชัยยุทธ,ทางขึ้นลงทางด่วน,0
17396,2020-03-16,2020-03-16,1,0,วิชัยยุทธ,ทางขึ้นลงทางด่วน,0
17397,2020-03-18,2020-03-18,1,0,ปากซอยลาดกระบัง11,ลาดกระบัง,0
17398,2020-03-18,2020-03-18,1,0,ปากซอยลาดกระบัง11,ลาดกระบัง,0
17399,2020-03-18,2020-03-18,1,0,ปากซอยลาดกระบัง11,ลาดกระบัง,0
17400,2020-03-18,2020-03-18,1,0,ลาดกระบัง-ฉลองกรุง,ฉลองกรุง,0
17401,2020-03-18,2020-03-18,1,0,ลาดกระบัง-ฉลองกรุง,ฉลองกรุง,0
17402,2020-03-18,2020-03-18,1,0,ลาดกระบัง-ฉลองกรุง,ฉลองกรุง,0
17403,2020-03-18,2020-03-18,1,0,ลาดกระบัง-ฉลองกรุง,ลาดกระบัง,0
17404,2020-03-18,2020-03-18,1,0,ลาดกระบัง-ฉลองกรุง,ลาดกระบัง,0
17405,2020-03-18,2020-03-18,1,0,ลาดกระบัง-ฉลองกรุง,ลาดกระบัง,0
17406,2020-03-20,2020-03-20,1,0,วิชัยยุทธ2,พระรามที่6,0
17407,2020-03-20,2020-03-20,1,0,วิชัยยุทธ2,พระรามที่6,0
17408,2020-03-20,2020-03-20,1,0,วิชัยยุทธ2,พระรามที่6,0
17409,2020-03-20,2020-03-20,1,0,วิชัยยุทธ2,ซอยเศรษฐศิริ2,0
17410,2020-03-20,2020-03-20,1,0,วิชัยยุทธ2,ซอยเศรษฐศิริ2,0
17411,2020-03-20,2020-03-20,1,0,วิชัยยุทธ2,ซอยเศรษฐศิริ2,0
17412,2020-03-20,2020-03-20,1,0,โรงกรองน้ำ,พระรามที่6,0
17413,2020-03-20,2020-03-20,1,0,โรงกรองน้ำ,พระรามที่6,0
17414,2020-03-20,2020-03-20,1,0,โรงกรองน้ำ,พระรามที่6,0
17415,2020-03-20,2020-03-20,1,0,โรงกรองน้ำ,นครไชยศรี,0
17416,2020-03-20,2020-03-20,1,0,โรงกรองน้ำ,นครไชยศรี,0
17417,2020-03-20,2020-03-20,1,0,โรงกรองน้ำ,นครไชยศรี,0
