source_excel_row,survey_date_parsed,intersection_key,road_key,time_key,Lockdown,vph
7111,2021-06-24,ถนนตก,เจริญกรุง,09:00-16:00,0,1143.142857142857
7112,2021-06-24,ถนนตก,พระรามที่3,09:00-16:00,0,2289.0
7179,2021-07-06,หน้าธนาคารแห่งประเทศไทย,สามเสน,07:00-09:00,0,1137.0
7185,2021-07-06,หน้าธนาคารแห่งประเทศไทย,สามเสน,16:00-19:00,0,660.0
7191,2021-07-06,หน้าธนาคารแห่งประเทศไทย,สามเสน,09:00-16:00,0,944.5714285714286
7416,2021-08-03,ใกล้วัดดิสหงษาราม,เพชรบุรี,07:00-09:00,1,2528.5
7423,2021-08-03,ใกล้วัดดิสหงษาราม,เพชรบุรี,16:00-19:00,1,1970.6666666666667
7430,2021-08-03,ใกล้วัดดิสหงษาราม,เพชรบุรี,09:00-16:00,1,1994.0
7491,2021-08-10,หน้ารพ.พญาไท2,พหลโยธิน,07:00-09:00,1,2148.5
7495,2021-08-10,หน้ารพ.พญาไท2,พหลโยธิน,16:00-19:00,1,2892.6666666666665
7499,2021-08-10,หน้ารพ.พญาไท2,พหลโยธิน,09:00-16:00,1,2496.1428571428573
7508,2021-08-13,หน้ารพ.รามาธิบดี,พระรามที่6,07:00-09:00,1,3272.5
7511,2021-08-13,หน้ารพ.รามาธิบดี,พระรามที่6,16:00-19:00,1,2556.3333333333335
7514,2021-08-13,หน้ารพ.รามาธิบดี,พระรามที่6,09:00-16:00,1,3119.5714285714284
7515,2021-08-16,ห้วยขวาง,รัชดาภิเษก,07:00-09:00,1,786.5
7516,2021-08-16,ห้วยขวาง,ประชาสงเคราะห์,07:00-09:00,1,496.0
7519,2021-08-16,ห้วยขวาง,รัชดาภิเษก,16:00-19:00,1,1198.3333333333333
7520,2021-08-16,ห้วยขวาง,ประชาสงเคราะห์,16:00-19:00,1,394.0
7523,2021-08-16,ห้วยขวาง,รัชดาภิเษก,09:00-16:00,1,1159.142857142857
7524,2021-08-16,ห้วยขวาง,ประชาสงเคราะห์,09:00-16:00,1,464.42857142857144
7530,2021-08-18,บุคคโล,เจริญนคร,07:00-09:00,1,2773.0
7535,2021-08-18,บุคคโล,เจริญนคร,16:00-19:00,1,2890.0
7540,2021-08-18,บุคคโล,เจริญนคร,09:00-16:00,1,2880.285714285714
7546,2021-08-19,ถนนตก,พระรามที่3,07:00-09:00,1,3890.5
7548,2021-08-19,ถนนตก,เจริญกรุง,07:00-09:00,1,723.5
7549,2021-08-19,หน้าธนาคารแห่งประเทศไทย,สามเสน,07:00-09:00,1,671.0
7551,2021-08-19,ถนนตก,พระรามที่3,16:00-19:00,1,3259.6666666666665
7553,2021-08-19,ถนนตก,เจริญกรุง,16:00-19:00,1,489.3333333333333
7554,2021-08-19,หน้าธนาคารแห่งประเทศไทย,สามเสน,16:00-19:00,1,684.6666666666666
7556,2021-08-19,ถนนตก,พระรามที่3,09:00-16:00,1,2842.1428571428573
7558,2021-08-19,ถนนตก,เจริญกรุง,09:00-16:00,1,598.8571428571429
7559,2021-08-19,หน้าธนาคารแห่งประเทศไทย,สามเสน,09:00-16:00,1,697.0
7562,2021-08-20,ประดิพัทธ์,พระรามที่6,07:00-09:00,1,1470.5
7563,2021-08-20,ประดิพัทธ์,ประดิพัทธ์,07:00-09:00,1,1577.0
7572,2021-08-20,ประดิพัทธ์,พระรามที่6,16:00-19:00,1,1624.0
7573,2021-08-20,ประดิพัทธ์,ประดิพัทธ์,16:00-19:00,1,1248.6666666666667
7576,2021-08-20,ประดิพัทธ์,พระรามที่6,09:00-16:00,1,1575.2857142857142
7577,2021-08-20,ประดิพัทธ์,ประดิพัทธ์,09:00-16:00,1,1326.857142857143
7578,2021-08-23,เดโช,เดโช,07:00-09:00,1,271.0
7579,2021-08-23,เดโช,สีลม,07:00-09:00,1,1552.5
7581,2021-08-23,เดโช,เดโช,16:00-19:00,1,183.66666666666666
7582,2021-08-23,เดโช,สีลม,16:00-19:00,1,1416.0
