source_excel_row,survey_date_parsed,covid_period,intersection_key,road_key,time_key,period_hours,total,vph
575,2017-06-30,ก่อนโควิด,ประชาอุทิศ,ประชาอุทิศ,07:00-09:00,2.0,3083.0,1541.5
576,2017-06-30,ก่อนโควิด,ประชาอุทิศ,ประชาอุทิศ,09:00-16:00,7.0,6581.0,940.1428571428571
577,2017-06-30,ก่อนโควิด,ประชาอุทิศ,ประชาอุทิศ,16:00-19:00,3.0,4216.0,1405.3333333333333
578,2017-06-30,ก่อนโควิด,ประชาอุทิศ,สุขสวัสดิ์,07:00-09:00,2.0,8892.0,4446.0
579,2017-06-30,ก่อนโควิด,ประชาอุทิศ,สุขสวัสดิ์,09:00-16:00,7.0,16743.0,2391.8571428571427
580,2017-06-30,ก่อนโควิด,ประชาอุทิศ,สุขสวัสดิ์,16:00-19:00,3.0,15553.0,5184.333333333333
587,2017-07-04,ก่อนโควิด,หมอมี,พระรามที่4,07:00-09:00,2.0,1019.0,509.5
590,2017-07-04,ก่อนโควิด,หมอมี,เจริญกรุง,07:00-09:00,2.0,3455.0,1727.5
602,2017-07-05,ก่อนโควิด,สาธุ-จันทน์,สาธุประดิษฐ์,07:00-09:00,2.0,980.0,490.0
605,2017-07-05,ก่อนโควิด,สาธุ-จันทน์,จันทน์,07:00-09:00,2.0,3544.0,1772.0
608,2017-07-06,ก่อนโควิด,หมู่บ้านสหกรณ์,ทางเข้าหมู่บ้านสหกรณ์,07:00-09:00,2.0,793.0,396.5
611,2017-07-06,ก่อนโควิด,หมู่บ้านสหกรณ์,เสรีไทย,07:00-09:00,2.0,9411.0,4705.5
614,2017-07-07,ก่อนโควิด,เจริญนครใต้,เจริญนคร,07:00-09:00,2.0,7277.0,3638.5
617,2017-07-07,ก่อนโควิด,เจริญนครใต้,กรุงธนบุรี,07:00-09:00,2.0,1356.0,678.0
650,2017-07-17,ก่อนโควิด,เฉลิมเผ่า,อังรีดูนังต์,07:00-09:00,2.0,1794.0,897.0
651,2017-07-17,ก่อนโควิด,เฉลิมเผ่า,อังรีดูนังต์,09:00-16:00,7.0,6845.0,977.8571428571429
652,2017-07-17,ก่อนโควิด,เฉลิมเผ่า,อังรีดูนังต์,16:00-19:00,3.0,2269.0,756.3333333333334
653,2017-07-17,ก่อนโควิด,เฉลิมเผ่า,พระรามที่1,07:00-09:00,2.0,5357.0,2678.5
662,2017-07-18,ก่อนโควิด,ประตูน้ำ,ราชดำริ,07:00-09:00,2.0,4314.0,2157.0
663,2017-07-18,ก่อนโควิด,ประตูน้ำ,ราชดำริ,09:00-16:00,7.0,13091.0,1870.142857142857
664,2017-07-18,ก่อนโควิด,ประตูน้ำ,ราชดำริ,16:00-19:00,3.0,5676.0,1892.0
665,2017-07-18,ก่อนโควิด,ประตูน้ำ,ราชปรารภ,07:00-09:00,2.0,1856.0,928.0
666,2017-07-18,ก่อนโควิด,ประตูน้ำ,ราชปรารภ,09:00-16:00,7.0,1053.0,150.42857142857142
667,2017-07-18,ก่อนโควิด,ประตูน้ำ,ราชปรารภ,16:00-19:00,3.0,253.0,84.33333333333333
